date,waterbody,site,length,mass
6/28/2018,Susquehanna River,Cooperstown Dam,30.88,7.18
6/28/2018,Susquehanna River,Cooperstown Dam,31.18,6.85
6/28/2018,Susquehanna River,Cooperstown Dam,31.15,6.75
6/28/2018,Susquehanna River,Cooperstown Dam,29.28,6.46
6/28/2018,Susquehanna River,Cooperstown Dam,28.31,6.14
6/28/2018,Susquehanna River,Cooperstown Dam,30.55,5.99
6/28/2018,Susquehanna River,Cooperstown Dam,27.15,5.58
6/28/2018,Susquehanna River,Cooperstown Dam,28.83,4.95
6/28/2018,Susquehanna River,Cooperstown Dam,27,4.85
6/28/2018,Susquehanna River,Cooperstown Dam,28.65,4.81
6/28/2018,Susquehanna River,Cooperstown Dam,27.29,4.57
6/28/2018,Susquehanna River,Cooperstown Dam,28.44,4.5
6/28/2018,Susquehanna River,Cooperstown Dam,25.75,4.19
6/28/2018,Susquehanna River,Cooperstown Dam,25.79,4
6/28/2018,Susquehanna River,Cooperstown Dam,23.64,3.41
6/28/2018,Susquehanna River,Cooperstown Dam,24.27,3.34
6/28/2018,Susquehanna River,Cooperstown Dam,24.34,2.94
6/28/2018,Susquehanna River,Cooperstown Dam,24.17,2.91
6/28/2018,Susquehanna River,Cooperstown Dam,23.07,2.9
6/28/2018,Susquehanna River,Cooperstown Dam,22.35,2.85
6/28/2018,Susquehanna River,Cooperstown Dam,21.82,2.82
6/28/2018,Susquehanna River,Cooperstown Dam,21.67,2.78
6/28/2018,Susquehanna River,Cooperstown Dam,21.17,2.75
6/28/2018,Susquehanna River,Cooperstown Dam,22.07,2.55
6/28/2018,Susquehanna River,Cooperstown Dam,21.73,2.54
6/28/2018,Susquehanna River,Cooperstown Dam,21.61,2.42
6/28/2018,Susquehanna River,Cooperstown Dam,20.63,2.29
6/28/2018,Susquehanna River,Cooperstown Dam,21.54,2.23
6/28/2018,Susquehanna River,Cooperstown Dam,21.69,2.22
6/28/2018,Susquehanna River,Cooperstown Dam,20.24,2.19
6/28/2018,Susquehanna River,Cooperstown Dam,20.55,2.16
6/28/2018,Susquehanna River,Cooperstown Dam,21.22,2.15
6/28/2018,Susquehanna River,Cooperstown Dam,20.28,2.14
6/28/2018,Susquehanna River,Cooperstown Dam,21.12,2.12
6/28/2018,Susquehanna River,Cooperstown Dam,21.3,2.09
6/28/2018,Susquehanna River,Cooperstown Dam,20.77,2.08
6/28/2018,Susquehanna River,Cooperstown Dam,21.57,2.05
6/28/2018,Susquehanna River,Cooperstown Dam,21.29,2.03
6/28/2018,Susquehanna River,Cooperstown Dam,20.72,2.01
6/28/2018,Susquehanna River,Cooperstown Dam,21.24,1.96
