site_id,water,survey,year,nytme,nytmn,Detected
Albright Creek1,Albright Creek,719005,2019,409044,4727162,0
Albright Creek2,Albright Creek,719005,2019,410371,4732007,0
Aldrich Creek1,Aldrich Creek,407699,2007,481217,4711659,0
Aldrich Creek2,Aldrich Creek,407699,2007,480759,4716736,0
Apalachin Creek2,Apalachin Creek,787008,1987,404477,4652876,0
Apalachin Creek3,Apalachin Creek,787008,1987,404827,4652115,0
Avery Hollow Brook1,Avery Hollow Brook,810069,2010,299947,4706836,0
Babcock Hollow1,Babcock Hollow,797011,1997,403192,4701732,1
Baker Creek1,Baker Creek,815016,2015,287122,4682512,0
Baldwin Creek1,Baldwin Creek,889022,1989,359131,4665421,0
Balsam Creek2,Balsam Creek,710308,2010,438795,4708403,0
Banfield Creek1,Banfield Creek,811046,2011,365367,4680960,0
Banner Creek1,Banner Creek,407471,2007,490567,4701801,0
Barnard Creek1,Barnard Creek,892009,1992,329530,4661221,0
Bear Brook1,Bear Brook,793005,1993,448432,4693122,0
Bear Brook2,Bear Brook,793005,1993,449532,4692822,0
Bear Brook3,Bear Brook,793005,1993,452232,4692722,0
Bear Brook4,Bear Brook,793005,1993,454232,4694822,0
Beaver Brook1,Beaver Brook,807013,2007,350318,4669435,1
Beaver Brook1,Beaver Brook,811068,2011,350318,4669435,0
Beaver Brook1,Beaver Brook,812090,2012,350249,4669571,0
Beaver Brook1,Beaver Brook,889002,1989,350431,4669621,1
Beaver Brook1,Beaver Brook,892002,1992,350531,4668521,1
Beaver Brook2,Beaver Brook,807013,2007,350523,4668987,0
Beaver Brook2,Beaver Brook,812090,2012,350386,4669581,0
Beaver Brook2,Beaver Brook,892002,1992,350431,4669621,1
Beaver Brook3,Beaver Brook,807013,2007,350501,4668852,1
Beaver Brook3,Beaver Brook,811068,2011,350501,4668852,0
Beaver Brook3,Beaver Brook,892002,1992,351431,4670021,0
Beaver Creek1,Beaver Creek,792023,1992,473832,4739822,0
Beaver Creek2,Beaver Creek,792023,1992,473132,4738422,0
Beaver Creek3,Beaver Creek,792023,1992,474632,4733522,0
Belden Brook1,Belden Brook,705046,2005,448525,4670045,0
Belden Brook2,Belden Brook,705046,2005,447359,4670864,0
Bennetts Creek1,Bennetts Creek,810140,2010,278660,4659476,0
Bennetts Creek1,Bennetts Creek,817007,2017,278771,4659702,0
Bennetts Creek1,Bennetts Creek,889007,1989,280930,4666521,1
Bennetts Creek2,Bennetts Creek,810140,2010,279065,4661778,0
Bennetts Creek2,Bennetts Creek,817007,2017,278632,4659434,0
Bennetts Creek2,Bennetts Creek,889007,1989,280630,4664921,1
Big Brook1,Big Brook,409750,2009,468549,4676915,0
Black Brook1,Black Brook,409623,2009,504621,4722479,0
Blue Creek1,Blue Creek,707004,2007,398724,4721789,0
Blue Creek1,Blue Creek,709301,2009,400375,4718614,0
Borden Creek1,Borden Creek,810091,2010,328849,4675862,0
Borden Creek1,Borden Creek,815102,2015,328830,4675846,0
Borden Creek1,Borden Creek,816017,2016,329357,4672621,0
Boughton Creek1,Boughton Creek,893025,1993,298430,4693121,1
Bowman Creek1,Bowman Creek,708023,2008,447672,4694643,0
Bowman Creek1,Bowman Creek,794008,1994,445132,4697422,0
Bowman Creek1,Bowman Creek,794021,1994,443432,4707922,0
Bowman Creek2,Bowman Creek,708023,2008,445810,4694802,0
Bowman Creek2,Bowman Creek,794008,1994,445432,4699622,0
Bowman Creek3,Bowman Creek,794008,1994,445632,4701022,1
Bradley Brook2,Bradley Brook,711619,2011,449683,4741849,0
Bradley Brook3,Bradley Brook,711619,2011,452185,4740312,0
Brier Creek1,Brier Creek,409719,2009,482066,4691312,0
Brier Creek2,Brier Creek,409719,2009,479681,4699669,0
Bucks Brook1,Bucks Brook,722044,2022,437422,4726021,0
Bumps Creek2,Bumps Creek,711006,2011,456302,4675524,0
Bundy Hollow Brook1,Bundy Hollow Brook,409752,2009,466689,4677989,0
Bundy Hollow Brook2,Bundy Hollow Brook,409752,2009,469418,4680348,0
Butternut Creek1,Butternut Creek,411024,2011,489991,4730079,1
Butternut Creek1,Butternut Creek,413018,2013,489991,4730079,1
Butternut Creek1,Butternut Creek,416030,2016,490025,4730027,0
Butternut Creek1,Butternut Creek,422009,2022,489962,4730103,0
Butternut Creek1,Butternut Creek,425036,2025,490025,4730027,0
Butternut Creek1,Butternut Creek,493030,1993,480332,4710323,0
Butternut Creek2,Butternut Creek,411024,2011,489959,4727404,1
Butternut Creek2,Butternut Creek,413018,2013,489959,4727404,1
Butternut Creek2,Butternut Creek,416030,2016,489928,4727372,0
Butternut Creek2,Butternut Creek,422009,2022,489988,4727439,1
Butternut Creek2,Butternut Creek,425036,2025,489928,4727372,0
Butternut Creek3,Butternut Creek,411024,2011,488120,4723715,1
Butternut Creek3,Butternut Creek,413018,2013,488120,4723715,1
Butternut Creek3,Butternut Creek,416030,2016,488124,4723711,0
Butternut Creek3,Butternut Creek,422009,2022,481630,4711059,0
Butternut Creek3,Butternut Creek,425036,2025,488124,4723711,0
Butternut Creek3,Butternut Creek,493030,1993,484232,4715223,0
Butternut Creek4,Butternut Creek,411024,2011,486547,4721739,1
Butternut Creek4,Butternut Creek,413018,2013,486547,4721739,1
Butternut Creek4,Butternut Creek,416030,2016,486461,4721709,0
Butternut Creek4,Butternut Creek,422009,2022,480389,4710351,0
Butternut Creek4,Butternut Creek,425036,2025,486442,4721645,0
Butternut Creek4,Butternut Creek,493030,1993,485132,4719623,0
Butternut Creek5,Butternut Creek,411024,2011,484149,4715209,1
Butternut Creek5,Butternut Creek,413018,2013,484149,4715209,1
Butternut Creek5,Butternut Creek,416030,2016,484161,4715235,0
Butternut Creek5,Butternut Creek,425036,2025,484151,4715140,0
Butternut Creek5,Butternut Creek,493030,1993,487333,4722123,0
Butternut Creek6,Butternut Creek,411024,2011,480396,4710363,1
Butternut Creek6,Butternut Creek,413018,2013,480396,4710363,0
Butternut Creek6,Butternut Creek,416030,2016,480382,4710349,0
Butternut Creek6,Butternut Creek,425036,2025,480382,4710349,0
Butternut Creek6,Butternut Creek,493030,1993,488733,4725023,0
Butternut Creek7,Butternut Creek,411024,2011,478763,4708056,1
Butternut Creek7,Butternut Creek,413018,2013,478763,4708056,1
Butternut Creek7,Butternut Creek,416030,2016,478780,4708051,0
Butternut Creek7,Butternut Creek,425036,2025,478780,4708051,0
Butternut Creek7,Butternut Creek,493030,1993,490233,4728523,0
Button Creek1,Button Creek,711378,2011,478405,4737106,0
Cahoon Creek1,Cahoon Creek,408284,2008,474213,4702270,0
Calhoun Creek2,Calhoun Creek,407744,2007,478151,4712601,0
Callahan Brook1,Callahan Brook,711616,2011,445176,4751189,0
Callahan Brook1,Callahan Brook,723016,2023,447505,4748476,0
Callahan Brook2,Callahan Brook,711616,2011,442085,4751741,0
